,precision,recall,f1-score,support
aeroplane,0.9016393442622951,0.7432432432432432,0.8148148148148148,74.0
bicycle,0.6923076923076923,0.6428571428571429,0.6666666666666666,28.0
bird,0.6744186046511628,0.6041666666666666,0.6373626373626373,96.0
boat,0.6521739130434783,0.5,0.5660377358490566,30.0
bottle,0.21052631578947367,0.21052631578947367,0.21052631578947367,19.0
bus,0.6363636363636364,0.35,0.45161290322580644,20.0
car,0.6326530612244898,0.7948717948717948,0.7045454545454546,78.0
cat,0.711340206185567,0.6052631578947368,0.6540284360189573,114.0
chair,0.3333333333333333,0.16666666666666666,0.2222222222222222,18.0
cow,0.3157894736842105,0.2857142857142857,0.3,21.0
diningtable,0.0,0.0,0.0,4.0
dog,0.5369127516778524,0.7339449541284404,0.6201550387596899,109.0
horse,0.5,0.375,0.42857142857142855,24.0
motorbike,0.47058823529411764,0.34782608695652173,0.4,23.0
person,0.5126050420168067,0.7261904761904762,0.6009852216748769,84.0
pottedplant,0.5,0.3333333333333333,0.4,15.0
sheep,0.5,0.25,0.3333333333333333,16.0
sofa,0.6,0.3333333333333333,0.42857142857142855,18.0
train,0.7916666666666666,0.890625,0.8382352941176471,64.0
tvmonitor,0.5357142857142857,0.5769230769230769,0.5555555555555556,26.0
accuracy,0.6152099886492622,0.6152099886492622,0.6152099886492622,0.6152099886492622
macro avg,0.5354016281107534,0.47352427672845965,0.49166122435395254,881.0
weighted avg,0.6191997562116318,0.6152099886492622,0.6069028920513889,881.0
